url,quantity_sold
https://www.lazada.vn/products/chi-1212-tang-mat-na-cho-hd-499k-nuoc-hoa-hong-y-di-hatomugi-reihaku-the-lotion-lam-sang-da-500ml-co-voi-i2419121931.html,186
https://www.lazada.vn/products/kem-duong-trang-dang-gel-hada-labo-perfect-white-tranexamic-acid-gel-cream-50g-i2202762669.html,510
https://www.lazada.vn/products/kem-duong-dang-gel-sua-danh-cho-da-mun-voi-tac-dong-kep-normaderm-phytosolution-double-correction-daily-care-50ml-i305202126.html,4300
https://www.lazada.vn/products/tinh-chat-nghe-hung-yen-serum-c22-22-vitamin-c-sang-da-mo-vet-tham-cocoon-30ml-i1930604913.html,5100
https://www.lazada.vn/products/kem-duong-trang-da-ban-ngay-garnier-light-complete-whitening-serum-cream-spf30-i2007378752.html,96
https://www.lazada.vn/products/sum37-kem-sum-xanh-cap-nuoc-cho-da-cang-mong-sang-bong-giam-mun-10ml-water-full-marine-relift-gel-cream-i949544785.html,39
https://www.lazada.vn/products/dung-dich-cai-thien-lao-hoa-hada-labo-pro-aging-retinol-b3-lotion-170ml-i2616460318.html,47
https://www.lazada.vn/products/tinh-chat-cham-soc-da-cosrx-advanced-snail-line-96-mucin-power-essence-100ml-92-all-in-one-cream-100ml-peptide-eye-cream-25ml-mucin-power-gel-cleanser-150ml-snail-radiance-dual-essence-80ml-hydrogel-eye-patch-90g-i2392491652.html,40
https://www.lazada.vn/products/thach-bi-dao-cocoon-cap-am-va-ngua-mun-30ml-i1503175042.html,2700
https://www.lazada.vn/products/serum-uc-che-nam-duong-trang-tu-sau-ben-trong-red-peel-white-35ml-txa-05-niacinamide-5-i2282220275.html,29
https://www.lazada.vn/products/serum-tai-tao-va-duong-da-mat-balance-active-formula-gold-collagen-rejuvenating-eye-15ml-i420378008.html,1600
https://www.lazada.vn/products/duong-chat-danh-cho-da-dau-mun-giup-giam-mun-mo-tham-garnier-bright-complete-anti-acnes-booster-serum-30ml-i1972472258.html,12900
https://www.lazada.vn/products/serum-vitamin-c-sac-ngoc-khang-30ml-tinh-chat-duong-trang-dieu-ky-the-he-moi-duong-am-mo-tham-duong-trang-vuot-troi-mau-moi-i1642244910.html,254
https://www.lazada.vn/products/kem-duong-ho-tro-giam-tham-nam-angels-liquid-glutathione-niacinamide-7day-whitening-program-700-v-cream-50ml-i2007541732.html,22
https://www.lazada.vn/products/mua-2-tinh-1-kem-vi-duong-ban-ngay-olay-regenerist-50g-i464362055.html,348
https://www.lazada.vn/products/combo-5-goi-sample-tinh-chat-cap-nuocphuc-hoi-da-blue-microlift-hydra-cnprx-serum-ab-authenic-i1583953893.html,154
https://www.lazada.vn/products/nuoc-hoa-hong-tram-tra-milaganics-toner-ngua-mun-va-can-bang-do-am-cho-da-lanh-tinh-35ml-chai-i2233000918.html,44
https://www.lazada.vn/products/kem-lam-mo-nam-tan-nhang-the-nang-white-doctors-melasma-pro-40g-i1475603015.html,140
https://www.lazada.vn/products/xit-khoang-duong-am-lam-sang-da-hatomugi-moisturizing-conditioning-the-mist-lotion-250ml-i2007457822.html,73
https://www.lazada.vn/products/serum-cai-thien-nep-nhan-lam-trang-da-wellderma-propolis-1000-energy-ampoule-50ml-i2261154302.html,29
https://www.lazada.vn/products/tinh-chat-sieu-tri-nhan-vung-mat-whoo-do-goi-1ml-combo-tu-chon-whoo-intensive-wrinkle-concentrate-i1260520457.html,865
https://www.lazada.vn/products/toner-can-bang-dau-nhon-ho-tro-giam-mun-se-khit-lo-chan-long-babe-stop-akn-astringent-tonic-lotion-250ml-i1999790795.html,43
https://www.lazada.vn/products/te-bao-goc-xoa-seo-thamseo-ro-seo-lom-gsc-anti-ageing-ampoule-i2418667512.html,101
